price_id,product_id,effective_date,price,discounted_price,promotion_code
1fcbe2bb-df85-44af-9d03-e532745417d3,af8b6433-2588-4461-83b0-9bba4ecbe3d7,2024-03-18,398.24,12.13,your
ae72c116-1b34-4759-a7ec-24d12c9dd0f7,24694247-4150-4a8a-97be-30e059e236ad,2024-03-16,115.46,125.99,debate
58b65c1c-478d-4937-8a13-f6a7f9d8e714,d7036b2f-b593-4b15-a8c5-3d224eda8c80,2024-06-16,224.28,156.12,church
507598a0-d0d1-4c5a-ab81-3dace021d0bd,472702a3-dddb-4abf-a0d5-a822557117aa,2024-08-19,291.87,403.3,example
bd0c6a08-9466-4aa2-8dc8-70426da1df3b,726957df-b27b-4caf-89c9-6eab57366620,2024-02-24,291.47,155.64,bag
e31be144-f5ff-4a97-be32-f3476a3613bb,23af2318-3366-4f5a-ac5a-09bfa4076cd8,2024-07-24,382.68,353.83,who
ee7178f1-a09c-4da6-8b34-b9870d4740db,c16df910-d326-47b0-a152-4d7b1a46f95c,2024-02-29,388.39,441.88,itself
c1d3ac95-eeff-4de1-8e38-23af16ffae73,4f3a6b1d-b2b6-4d1e-b2b1-6441498a5a44,2024-03-19,189.9,242.08,staff
026b29ca-4fb7-4780-8822-d73fd6a1002c,644c34ef-a0e0-448c-aede-19c2de358577,2024-08-04,444.68,249.24,improve
7f7d00af-6451-4cc3-b386-aaf58dfc2a59,a62f01bd-bd3b-48a3-ae9e-ece168efe6b7,2024-03-15,155.92,59.15,last
4a31485b-b52c-4903-a41e-8f0656bb85ac,6c5b3121-6e33-40d2-ab98-b5b2005a7258,2024-01-06,378.72,130.44,suggest
26bec8de-69c5-4360-8440-3bed5411e530,9beae7eb-b18a-4860-ab10-2d35c42c1a7d,2024-01-01,243.51,478.35,teach
aed98131-e4d9-4480-b7d3-7816e8d02a49,28244453-249f-4019-af17-231f4711613e,2024-04-16,341.0,112.11,expect
de533537-3c44-4777-bcf3-ea7911524777,99b0c51a-4940-47d9-96da-f2ab23ca6e23,2024-05-24,331.2,39.07,work
8d2ded94-54df-4f1c-aa1e-20cbae62e2d7,7f080886-7fd3-4455-a446-56510c456141,2024-08-01,13.05,202.27,also
af3cac53-95bd-4f5f-b02e-c7a9b9fd9b49,3fc36495-5d70-44fd-b675-4b0f9569632d,2024-02-18,271.21,219.4,research
7ea355e2-6d56-4072-9183-e0ba46225342,3c53f927-30c5-4259-8188-951d5daf57f1,2024-04-01,360.49,458.42,blue
3e2eafe8-e2d3-4978-a1ee-e6486630fdf5,4a5fd844-fda6-496f-8734-0769e92a00e1,2024-02-15,382.37,305.04,moment
e74a2f30-8c37-4ab4-9a1b-e26ac51d8fa8,10ffa7fa-ef56-4b7a-a2a9-6035e1a94125,2024-03-31,361.45,430.47,something
390dea3b-fe32-40d6-8208-bf0435f5a8a0,e102e20a-52e3-448d-9c73-025bf528c524,2024-05-22,167.08,448.55,billion
4726762e-6852-45fc-aa0b-8a3f6cf38533,fc388cde-b462-45eb-a10e-40e6ab1b071a,2024-06-16,10.07,371.86,front
0bc269e8-9d04-4b64-936a-36aeb862c612,798d7de6-633e-4f46-b79c-5c11529cdb7b,2024-05-28,44.73,395.77,a
6fcac6ec-6386-4f13-8d03-516be4a7dc8e,40881e33-f6bf-41da-bea4-0c33ab591746,2024-08-05,92.29,192.16,end
135013a9-d0a3-4a60-b82d-069ac6c1be2f,f9f8f156-d958-46dc-98bb-d793f4180d4e,2024-02-09,427.79,101.5,church
287d6bb7-e3ad-4e6a-833a-c2065e1142bd,68293d6e-7d27-46f3-be99-19418151f749,2024-02-04,70.07,275.61,industry
3b156b2a-24df-4b6a-9e9c-52a7263b7039,410c2bb8-f0be-47b7-8096-bb0aa17a3b8b,2024-04-25,233.22,171.45,open
06385939-1f1f-4db4-a420-e59da7050e46,e67d874a-45a3-4845-ac33-d9cf668ad770,2024-02-28,405.58,262.44,top
78d5cb1b-6b9a-4cbf-b29f-7080e4d38b22,b8ed3042-9272-413f-8ae1-86b5e68821dd,2024-02-05,16.32,321.5,ability
157afd69-c23b-4bfc-b28b-170d5b066d97,68974e39-152d-4e06-aa7d-9d8182e80956,2024-01-16,142.5,483.47,car
d18bcef6-a592-4c9b-9541-0d2dceff7497,e0d07088-8f7d-4baf-b8a8-c0cfe35f95e3,2024-03-08,452.67,223.05,difference
ec3c1054-0255-4673-b183-a9a8ef72c207,0bd890f0-92e9-4d8e-8fcd-7c92bc0a5daf,2024-06-29,40.09,289.87,democratic
24994602-77a6-45d8-be0c-b527c28703e2,f9640747-6e07-4abd-b909-39969d19fe61,2024-06-16,28.27,75.75,campaign
3e1f82b5-2b13-4ede-a3a8-8794fed8a347,1daeecb4-7a8b-43ae-b15b-0c634678c276,2024-08-09,481.85,451.77,dog
d34178bd-7052-4690-8eef-c2b2c1abeb9e,ffff49fd-139f-4e45-bbb6-8617e344d2e4,2024-02-03,11.46,441.09,article
e2f729d1-69d4-4193-b1e1-25a5eb648749,6ed3ccdd-f340-4010-b858-d6cb069a96c9,2024-05-20,303.23,339.29,such
80504a57-bc5e-4080-814f-1ec66b6a9e98,519a826b-c0c6-42f9-8520-8534fa94bb53,2024-08-04,136.0,253.62,ahead
2b7fbd75-d9c6-41cd-bae2-e0782f543453,29666076-5053-4ed4-b3bf-e262bdef566e,2024-02-20,81.26,183.52,image
d81fb722-e4b8-436a-a260-a4fefbc3319d,22c112a4-7970-42fc-b09e-0616536334cc,2024-02-22,243.92,200.46,foot
571cb218-b075-4760-afa0-304a680b6add,955849e8-43de-42d4-a1a8-db879ad4ffd7,2024-03-18,453.11,46.32,foreign
d606ea91-67cb-4f4d-af20-e5a55a5c59eb,a7b3ea6c-edad-4259-99af-a7235cd16962,2024-03-18,231.13,361.95,rock
ac25f099-f268-408a-975f-5850d8e3892a,f906d380-e005-40d7-8b0e-19f6e1c7c69d,2024-04-13,103.9,245.15,imagine
be59b9aa-fea1-46bb-a771-50eb05521475,34aa42df-7677-4397-aa2e-9d6fec51fa18,2024-06-25,382.15,410.53,important
fbfec6d8-6056-46c5-9349-eec2513ebb82,0d6bb760-853d-41c6-8929-2ba46dbc2bd1,2024-03-31,182.14,108.81,few
1623e5bf-488d-490a-a923-69aab4018b02,7159665e-4b2b-43d1-83ab-21e1f5c378c7,2024-08-27,449.0,92.24,store
bd1381cf-0f91-4f25-b8cf-f1acbfba6736,073fb9ed-994c-4d09-8e86-8460b4788bee,2024-07-23,495.21,128.33,share
ef88598a-79d0-4c15-a9a8-661b0f1ea5aa,e651b839-8a7f-43d4-a631-38218fd14407,2024-05-25,66.63,422.01,pass
1ed5b647-fd0e-4e54-93d9-3bc7111d0285,a91c0416-066b-4396-ba78-4c06a7ae1631,2024-03-08,172.87,40.26,water
678d7911-5467-4d83-943a-0f22de5aabc0,fc77f66c-7bcf-4559-9be9-fdd8a589693c,2024-07-03,276.29,81.85,adult
314c5c92-d7ef-4cf6-a391-c67d4d0f8667,6a2f6791-fbea-47d8-9fd6-5986b0e287fe,2024-01-21,264.29,445.04,away
4736bf4e-c491-4ef5-be51-77c4eeff2c4b,5688a651-d0db-4b0b-a5bc-851e2a54c304,2024-01-05,120.56,179.92,speak
f2458c87-070c-4ae1-9310-51c2aecd8bf6,d4ecd368-8a8e-4693-a53c-126493f253eb,2024-06-01,497.84,5.0,school
5cf49f9e-02a0-4b04-9399-584855abb885,a22abf03-b124-468e-a347-887c4e2b86ab,2024-05-23,77.49,285.1,will
a7909234-5d2a-43e4-ba31-6a2b200738f0,5817445e-f9cb-42df-8a24-e62a326766ac,2024-05-18,471.09,203.63,we
4df3ab40-d95d-442a-a609-de6132693a65,fbba5f73-c8f1-4ddf-8cb8-f122b25899ea,2024-08-22,332.27,144.11,decision
35fcb143-05ad-46e5-adbb-8af8b7c289ac,c182a95c-00df-40be-b44a-d43e36c8b77f,2024-03-16,368.84,253.14,common
e3283e80-b1bc-4406-a6cd-4a05e51bb7bc,b1dfc16c-b880-456c-8d91-28c416ed3395,2024-06-07,483.54,413.56,by
d15e8039-8a68-41d6-9f61-973d6fe59599,f62f1c0a-25cb-4c82-a223-f9e3f9145519,2024-07-06,450.6,207.6,participant
67dcec78-38cb-4294-a77c-4a5fe885bf5f,daceb3ec-b6ea-48f2-b716-e4b278e8cab4,2024-01-07,111.07,456.41,democratic
edfe5bdb-447e-4d3e-a9d9-6758dd45389b,496c72d0-39d6-4305-b461-80302829920b,2024-04-13,462.02,66.64,culture
3e40a50f-2e14-451a-bdea-c92155a0136d,ddf21e93-d94e-427d-8141-0edea4476627,2024-09-01,344.12,382.45,couple
cdf3f42e-8885-4c7a-9eb9-18bd6beeff86,28d83d8b-f353-4045-8b15-8731c3bdb120,2024-07-25,241.1,385.67,newspaper
ca998c6d-7c03-47dd-85cb-5b1824f2ace5,e64b857f-96fe-4ae9-8a2f-9099483b827c,2024-08-30,319.94,262.81,enter
4dacd87c-8769-4b6c-80de-b44227486fc9,22094174-932b-469b-8935-9793d5874bf5,2024-01-31,12.23,364.93,young
effcb9b8-7efe-430d-a156-d1ecccc61d02,0be921ab-08c5-4960-b244-a8c85ddd1b65,2024-03-12,6.16,67.25,exactly
34024415-2892-49e4-96f4-775f249c3766,223cd648-b595-474c-9639-ba2aeb1c229f,2024-07-24,470.2,25.43,trade
13199898-d256-4e85-97fd-b4cea9e56fa3,6ed45321-884c-4e35-b097-7004d08d5141,2024-05-02,232.51,267.97,program
b57515ba-d556-4766-ab28-3156ad22c1f5,19ad7743-a0cb-4352-9c8d-0f1aa0d0cfd5,2024-01-18,290.1,492.85,front
81fac526-26b9-43e7-adb2-0c621a030752,1ae70465-9e5e-4b1e-9c28-d62523c11f13,2024-01-27,270.97,314.69,story
e76e9669-5f1a-44b0-b4e1-36c87787879c,481420d0-e76e-4681-9995-4cd8b209270f,2024-08-09,21.69,123.74,sense
c285e9d9-f044-4061-b2f6-a581b82b6e6f,25bb2b7a-3d0b-47aa-b2e5-099c46f01e33,2024-05-08,224.07,394.12,sea
5097335c-1db7-4eb1-8b22-5a9f51cbe472,2ac67089-b88c-40b3-9866-3afe27bb11aa,2024-08-24,329.26,330.09,executive
4e919975-239e-4355-8544-aecc07d7114f,16177339-bd19-4de3-8c3a-e27fbfb01daa,2024-05-06,423.84,178.76,dark
7486bd94-4ea6-434d-8a73-aa63e98f31b4,ca323f94-188d-4335-add2-11474070cd08,2024-08-29,436.6,115.82,time
f629f4a7-ce7a-41a8-8bfe-deb920ac2d5a,fd9d2768-ab7a-4c6b-9002-553ae74be421,2024-04-22,91.91,34.63,exist
621b927c-cf77-47ed-9a2d-90be67005b37,bf9b106e-ea03-4e31-aca3-f6f57414d769,2024-08-26,216.74,400.61,agree
f055b7a7-51d2-406f-b70d-506ef8eb12ad,23ff6030-11a1-479b-93a9-8960897ba96a,2024-08-19,81.64,144.01,so
d01819ba-8647-4ce3-a7b8-2a3a80fbbeb2,741cd4b5-9673-485d-8bb1-dc84dc8c626c,2024-02-22,277.98,118.22,common
cb23929c-10a1-455a-9c34-a01007d70877,1b0a1434-7951-459e-abb5-c28d927b4e2c,2024-03-18,344.42,476.98,part
d6559c94-ac89-4dbe-8e25-78e8f66361af,c4e18ac3-8656-4616-8aa5-f395a4b4937f,2024-02-19,97.78,398.84,institution
767a9f90-4571-460c-8ed8-11d3a7d46526,9dbae191-531e-4922-8645-53cae116f2bc,2024-05-04,272.26,467.25,stock
fc033433-6639-4007-a7cd-b40f4a6570c3,32b91541-b8bb-4a3e-bfa8-7b9e849de5ba,2024-07-01,397.0,434.93,successful
942ffe1a-ef13-4bb7-86a8-e2452d171628,abb766d8-2e45-4f26-bb60-93c39427e254,2024-03-27,286.86,161.77,bad
00aa2e58-f996-4bbd-a50a-eb00c1e85f8c,5d1d76f5-92e5-4dc4-88ad-cbaaf39515d3,2024-08-06,280.49,283.54,leader
d6dc0802-9451-4247-a5e6-5e696689aba7,c65b2576-17ae-4b36-a552-7d19c0ca9708,2024-05-06,297.2,68.16,employee
e37d433f-47a3-4fd0-bae2-1b52162281bd,6d8a2956-e98b-4222-8612-ce453f272d75,2024-06-07,248.79,468.11,fear
4e0ca95f-9c63-46f8-94fa-69a26ccc5878,0afefcb8-cbc0-412b-9873-2318576b5e5d,2024-06-27,203.85,75.16,tax
235170a0-8857-40ef-a050-3821d6d1c5f1,a772bbe9-2b65-4f1e-95f3-2c0c9c27e5b3,2024-06-02,360.96,153.23,always
e378c4ac-e5d8-4694-9120-c9d07622f50f,0709408e-a0fc-47de-9f7a-f5812d53295d,2024-08-03,447.57,130.97,inside
f06d3213-182d-4748-8c66-b5750674f14e,3c53f927-30c5-4259-8188-951d5daf57f1,2024-01-22,394.35,206.85,west
cc3b712a-4024-4d04-823a-62534ed62cbe,d78fae63-1cd3-4bf3-82c1-1c61794f789c,2024-07-11,295.19,449.17,social
7e248529-04df-4b75-8aca-3fe02f69bbaa,8dfeca93-f1d9-4007-b06b-d794ef96b271,2024-01-28,114.14,398.07,news
e7adfb13-b124-4a4f-b8b1-53d5ec3df556,4f3b1d15-5af4-46b4-b98f-6152beafa0e4,2024-01-18,107.84,83.9,respond
8f9382e3-835e-48a3-8c45-55d54a505e8e,60f78779-8cd3-4512-83ca-c1f7de891b59,2024-06-06,62.09,296.67,impact
bdb34767-8259-4ced-a659-7fea8fddc84b,7d8c0de8-ef8e-4c56-8bdd-72a9a50ee4d3,2024-08-19,474.89,93.49,compare
8729b986-6422-4e77-abd5-a56ab3ce490d,c4d8d960-b4ae-464d-b23e-e99447d4a193,2024-03-07,418.54,18.85,raise
f14873f3-7575-4a18-9655-6bce55d60f44,833ab34f-bc57-4367-a862-a4691df18b56,2024-05-20,8.25,389.17,end
17a88dfa-474e-49f5-9a4a-7c155f437449,20ae0fe2-1366-4542-9237-ff94dad659f7,2024-04-02,496.79,392.57,out
37933f72-28d5-4527-92e2-86ba2bef397a,196a169f-2f52-4706-9ff6-80bfbb43b0cb,2024-05-05,36.94,132.4,head
5f5ef52e-03d1-4f66-b558-0ad90a8724d1,9f6714fe-26bf-457b-931a-8f38c642d865,2024-05-02,426.39,378.23,I
48f2cd8d-26c6-42dc-a152-754ff5ddfb86,f06de514-b9ad-4e48-bc48-f65029aff3d6,2024-05-12,150.79,333.36,weight
fa740b7f-3360-4b3a-88f9-5b5d7224271d,572d8bff-61f5-469b-86b6-64ff57a09495,2024-02-09,308.96,255.78,exactly
15d3e7d5-c206-4e94-bad6-9e1b073c5b1a,5553f594-322d-49ca-b59d-1daf47ae3e7a,2024-03-20,305.36,452.54,role
3fde28c2-979e-4d03-b67b-496244641874,7987a913-fe43-4b98-995c-c6e32b9f3a8b,2024-06-08,8.94,51.7,girl
