promotion_id,promotion_code,description,discount_percentage,start_date,end_date,product_id
cec06ab6-01a2-4f20-b223-8244a7fcc18e,share,Across mission establish rest.,22.19,2024-02-23,2024-07-12,d7fd53c6-e793-4041-881d-b043f6cca177
27b01004-0511-4dd8-b95f-356d56c952c6,again,Police risk both feel notice require remember various.,24.56,2024-07-16,2024-02-04,35609074-f2ed-4346-9a07-67865d52eb8e
0ae262fe-3e9d-48ab-ad96-afdd25b57bc1,themselves,Age change tell.,11.21,2024-03-14,2024-08-09,97cd7f14-9794-4a91-b54a-c672dfbb398e
7808b60e-6a05-4dfa-a154-dd61a91d12b4,find,Win base quickly expect Mrs add.,27.37,2024-04-08,2024-02-04,40607121-9dbe-4abe-88ec-1ae03f2585c8
baa2b1c5-072c-44dc-94c2-22d3fcf19445,reflect,Issue artist what apply much report one.,23.93,2024-04-02,2024-05-05,074a1b25-3766-44c1-8e72-3ffe4366faeb
d0c702ba-3a9a-446e-b4fc-74c4a9acb3d3,although,Cover enough exactly Mr.,31.0,2024-02-20,2024-07-28,cce7d810-4c7b-4d85-8f02-fb7fb848c30a
4ea6fd01-9d01-4e65-9f0f-6c658ef4b013,institution,Mean we well eat listen president citizen no.,44.53,2024-03-05,2024-06-15,5761c09d-ea7e-4b44-a90c-f2745b287cb4
f0376193-e82d-41d6-8a27-c6874d3022e3,wind,Him camera model production represent kind.,37.65,2024-04-08,2024-05-16,74b7d503-5f3b-451a-becd-fcbf5cd23a1b
eca6111f-ec13-4d40-a3c5-650f0f04c84d,head,Per agreement time shake son.,29.65,2024-06-03,2024-03-05,c77b1c71-d029-46b9-aa32-b15c9316a90a
be88d2cd-0b82-45d9-8c47-9fb886121cae,him,Act not identify.,24.29,2024-06-07,2024-03-16,c36e811c-7a9f-4086-a1e8-26aa18cc5918
fc0b6ff4-230a-4f61-9870-f27c0016f1b7,believe,Look nothing type develop industry.,31.54,2024-01-23,2024-01-21,854942da-4951-49dc-9cef-57c7ed708073
79398d44-f506-4ed7-b795-84f2abb0d6a4,reflect,Here rich stand single.,34.83,2024-05-22,2024-05-09,2b5f8c94-3080-411c-814d-09247f53c657
603b3dac-fc64-4e4f-bf85-7338fd88e901,generation,Partner politics appear quickly second travel model.,39.08,2024-01-05,2024-08-09,fc308914-6d06-4f97-8d92-8b7d5445876f
803c7d51-9329-41db-9b9a-555d5f0af3ed,world,Decide national poor issue certainly traditional per.,9.41,2024-07-23,2024-05-12,b1f85cbf-6671-48e7-81f6-61bb499177c0
9a8ed98b-7de9-4653-8e29-fa2c9dcee2e1,join,Rock get magazine chance.,5.45,2024-03-12,2024-03-02,91867076-ed84-4e21-9c11-20ca0da5d4b3
f902c3f6-7847-4017-8cf1-765369840a31,into,Ready ability share success floor door require.,19.23,2024-06-27,2024-04-11,e4fd27e6-8a28-4bfc-be17-f7b5c3ab928e
83a07418-8958-40ee-88b5-402b03e66a35,evidence,Behavior former floor letter.,48.59,2024-02-24,2024-06-17,497c550d-ba88-403c-91b7-42ca7b0e9c9b
756eb0d9-880b-4f49-a0c4-eeacc8acffcc,word,Something enjoy describe letter.,16.94,2024-05-05,2024-03-30,b2f11dd3-4c04-43e5-a900-9baf906daa56
80484f3f-ea3a-47d7-a96f-1cb8c24c8b52,meeting,Important safe include season under.,28.12,2024-01-07,2024-04-05,c51c513f-3f53-40a7-b879-46c6645df349
3e762eb0-32ce-4a06-99e6-9a0c5e62e757,support,Career political ball.,33.61,2024-08-31,2024-07-08,50acd250-e672-46b1-bafa-2b6e135cc751
2ecf029c-4439-41b3-80ed-74af43d65529,opportunity,Class admit once least.,37.75,2024-04-29,2024-03-13,aa55f36a-1a86-44f2-b655-ac319fe10d67
57724390-0f16-48f4-a655-2be6f4e1db07,family,Job entire effect station yard statement.,17.77,2024-08-05,2024-08-12,6ceb10b3-cd90-4c9e-ab9a-dcb20e9f2d86
3c07c189-fabe-4e74-a82a-644de0483288,level,May better pass avoid stop third.,26.8,2024-03-23,2024-04-08,6b5121dd-bc64-41ff-a49a-7034accfa3f7
298bf271-a5b6-4163-a90b-70b407d36021,think,Again probably two degree wide.,27.39,2024-02-20,2024-02-09,32212573-9ce0-4584-b649-8a9fc03c6118
c7d8fe99-5b45-4328-adb0-fe1b4c12799b,author,Up coach certainly story sit.,31.4,2024-01-08,2024-07-08,2ff94b05-133d-45f0-9e67-9422a69548e4
e95b6d4f-680f-420f-8e29-46c3069480bc,strategy,Eight agree management nature well outside traditional.,38.81,2024-03-27,2024-01-04,59490d7b-a135-479e-9ef0-e35d6e505235
eaca5819-308f-4b97-a998-4080723e8f13,throughout,Side company fine amount else program southern.,14.36,2024-05-01,2024-03-08,cb982ed9-2f15-40e5-953a-eda4b65fffaa
18e9f3ff-190a-4dbc-9678-e8723444b271,bad,Yeah generation phone large especially election decision successful.,17.07,2024-04-04,2024-08-24,d899bf39-b890-4e6f-a32b-44e244e74849
ce8646e0-bb0d-4289-9c7f-c8bc7abe38a1,night,Anything executive part growth morning each down yourself.,48.6,2024-08-17,2024-08-25,556d3ce4-5550-48b8-a8b7-8bf77cff50d4
8336569d-fc08-4c8f-b536-0eb86880a8fa,various,Debate ten stay list base.,15.35,2024-07-10,2024-05-08,aa84c503-0256-4d4b-a1ae-2181d4ee69a7
bc5c0d66-5a53-4fde-a6bb-3c8edcd434cb,huge,Very short young here hair next local you.,12.78,2024-06-08,2024-06-07,cd558dfa-b29f-4da1-90b2-96e1d9231f55
3e14cdd0-cab8-4d42-89c7-70ca279abdb0,just,Do force it throw.,7.58,2024-08-21,2024-05-16,9ad1854d-b2e0-42ea-a286-836ae5de2974
531db992-907f-408e-86e2-327c75cee324,few,Law level way organization.,8.97,2024-01-17,2024-06-23,841ca8eb-fdde-4323-b514-1f9efc6126b1
afb84543-44f7-43cc-b34d-253ba98abae8,look,Majority create able.,17.31,2024-05-08,2024-05-08,81885f57-7971-4b8f-aa52-f0f5d44d81a7
8064c472-f4ed-4fef-ae9c-1d1971c5584f,close,News themselves watch low executive eye yard.,37.25,2024-02-29,2024-01-13,c32aee2a-3580-4c21-b8a0-7985755983c9
454ef732-2ac4-4376-b469-0fb39d8fad9b,evidence,War accept various against radio.,42.27,2024-06-06,2024-04-05,ac7f1397-cd87-400f-948f-57d3f519f288
a2497484-10b0-44dd-b7f6-fe1062bdc8e9,remain,Include would hundred.,46.15,2024-05-18,2024-02-03,5c392522-63e0-4da5-bcab-3e7df8a48720
d9b5b68e-f2f7-44ec-b86b-09b74a8fc1b4,society,Sense brother officer even.,27.83,2024-05-02,2024-05-01,b34a9137-5887-49f8-9ba2-60cda152dc15
6dd8af5f-5c92-4e92-b40f-349fb0216269,eight,Bag relate that it.,23.33,2024-03-07,2024-05-08,92ec8f83-add0-47a9-8d3f-f41328d650c5
3bb8a68b-4d0e-426e-8447-73192c59d0ec,senior,Whom especially policy report.,47.34,2024-04-30,2024-05-16,c53d20b2-76a8-4ded-9f72-6a7d7b4655d7
98d54b66-8c61-4b1f-a489-c9c7fc2d735f,color,Office young heavy list various.,43.76,2024-07-31,2024-04-27,e383b0ac-1b9a-45ee-ae24-61d0b17350dc
59906d5c-cbae-4bfe-862d-a6276d0d23ee,effect,Well generation world coach eat manage start.,43.93,2024-03-25,2024-02-12,a0f793a8-794e-4835-ac65-9cd446f4354e
d12f1ef6-37b0-470b-8ae8-d49a155fd620,model,Degree however economic lose perform different relationship listen.,41.57,2024-05-12,2024-02-29,318b93b6-8050-44aa-a3f1-aedbd545bd86
5523fcd4-3e20-491a-ac24-a9ff5b3605c0,beyond,Collection cover be animal worker matter.,16.94,2024-05-24,2024-03-15,f2cdd2f4-21c5-4c23-b37d-164a614b1265
1064547b-8bd1-481c-94b2-3534834e55d5,city,Road think once after and.,42.39,2024-06-05,2024-06-14,c2017877-7670-49cd-b217-859c1ae09020
d8c29c61-54be-4b7b-820a-de546df6059b,value,Control interview believe popular behavior matter off.,15.64,2024-05-03,2024-07-27,de3aede0-877b-404d-b3c6-0f035719fbc6
03ee5208-9daa-4dd4-9c11-7b8059056edc,sense,Dream process information.,38.94,2024-02-24,2024-05-05,85db1912-f6ca-4be5-addf-fc292075b509
9f72b81a-c196-4371-b4a7-a131c25a0d35,exist,Treat result road stop.,39.39,2024-08-23,2024-08-17,9f4110c9-2009-4753-bde5-0d71fc2e4e7a
6f3bada9-ef0e-4e64-9449-986cfdb72a7d,soldier,Itself herself financial what party present forget thought.,32.4,2024-03-20,2024-08-12,167fd1ed-106b-469d-b0a4-91f8ba83e7d3
1bb66a4b-9157-4046-a3d9-eeadf4209397,four,Pick five newspaper side certain spring.,6.34,2024-08-06,2024-04-30,d616c754-53f1-4da2-a584-1b3232611252
55710a9f-3aaa-4ddb-bf41-a996cf09d2e4,cut,There poor rock catch spend affect office.,33.41,2024-07-06,2024-01-28,5ea3c07a-22f3-40bd-b95b-e7055dc58755
288c1baf-586d-4fb8-ab1c-96cb0b5a7f9c,rule,Travel everyone wear mother type plan.,38.83,2024-02-17,2024-08-01,f0a4c665-7458-4ec4-9b4a-e8c9ca7e915f
23250fb0-94b7-4a65-a28c-3749717bcb5e,race,Call truth billion seek public visit debate.,10.08,2024-05-21,2024-01-04,494b8392-f357-4876-903d-f846e73116ec
57686da1-69ef-4c48-b4bd-4fd6ca02273f,site,Such politics present bed.,41.2,2024-03-02,2024-08-27,cb6bab31-ea3c-4c87-9722-fb47ecfc45ef
563f6663-a324-445b-aedf-5915189c7489,alone,Animal law point understand challenge include.,19.98,2024-05-04,2024-08-27,35ea54d9-a701-4370-836a-9f926eea09a3
b400c504-3e8a-4f4c-882d-6134f0e3879b,city,Successful continue social after second call.,9.84,2024-01-21,2024-06-28,a6d21005-78af-4cf6-998b-8eb79e8db215
a9d05efb-b80f-4920-a14f-402d3d9efbfb,knowledge,Hold include science describe store join data.,48.94,2024-01-10,2024-02-20,1f855b44-8938-4ee9-bd47-466330d7e700
a9b8a88d-e62f-47a2-ac2c-aa1ed9a8b89f,factor,Medical image key watch purpose write final learn.,41.9,2024-08-11,2024-05-30,89742678-9fd7-4a78-b298-82f9584e9f0a
f96c043b-d426-425d-a8d1-3cb017139710,democratic,Thing choose cause development.,14.82,2024-04-22,2024-04-30,6302a2ac-f9a4-4cd6-bd4d-cd12bc4e9210
42174065-c5dc-4125-9256-946d106d4cf7,month,Police sure throw give.,39.2,2024-07-25,2024-04-07,f160cc94-5e2c-4da9-9eea-c3d7b9fea7ec
e4437749-2abb-435a-b15c-405564e9151c,college,Animal director modern chance street hundred individual.,40.69,2024-06-14,2024-04-19,9f1934fa-bc5c-4037-b2b5-68f725ca4495
b77de242-7e2d-4b3c-9015-5dbb06193812,reveal,Good article show role indicate community support.,15.61,2024-04-26,2024-08-27,e91e9b2a-0bda-4d9a-b545-195d8627cddd
afa7b37d-70fc-4207-96ec-3b3bcea211aa,adult,Within plant imagine Congress all move.,49.05,2024-05-28,2024-01-16,78563089-9daa-47df-bc9a-cce0cd5e83bc
0173614b-3be4-4632-bf8e-2e26acf8e11b,we,Exist let management test successful water do help.,10.38,2024-06-03,2024-05-03,4a841cdf-54bb-475d-90e4-70ab979314ed
97295f81-09c8-4be5-be8d-e12e8b3b0d56,knowledge,Image recognize television name.,37.09,2024-02-29,2024-04-20,c01093d4-6c6b-4392-8b1e-e327493cce16
6211a0cb-992b-4a5d-bee7-7bd242f9fb4d,year,Group history social marriage worker.,23.37,2024-06-29,2024-03-05,0d239044-064e-43da-838e-bb97fd68d719
23601f7b-8782-4874-817f-0469a0372189,way,Though of program.,32.45,2024-03-27,2024-08-22,a05d7814-e4a2-4ac1-ada8-352f7a6b42ab
c5e44d40-8969-4b23-99c9-2351759d77db,work,Soon too industry network piece sign.,46.98,2024-05-13,2024-07-25,e02a7f9b-8bc2-4f4f-9205-77d18df6f960
ecfed49a-64a5-416a-b0f1-cf33d5bbb84f,heart,Understand try number leave television live none.,16.26,2024-08-01,2024-01-21,55d0efa9-cba4-4e80-94ea-48cb53f04782
56cbb93f-615f-433a-b5b1-ced0117c335a,offer,With American mission keep its modern hundred.,38.48,2024-01-06,2024-05-20,8774e25d-0a42-4e08-b926-d919023e30bc
6b6a58ef-dfea-4ef4-a536-13e1af07973b,paper,She mother for exactly bring.,25.35,2024-04-18,2024-08-16,6a5e5e66-e00f-4584-8143-046975a49252
321134e4-2352-4134-b445-b826e8c8f495,sit,Little time only job care trial truth.,26.8,2024-05-19,2024-08-23,1212121d-aaed-4ae4-ae05-edee53956f56
b67208db-677f-4194-9a55-168ae1d2d3b1,live,Senior hour book state before.,49.34,2024-03-02,2024-04-26,44899978-81d3-41c8-93c6-a18890fbd706
294ee1f3-04c2-4fd4-b24e-5fbae0b1f136,music,Avoid your owner.,23.93,2024-04-04,2024-07-19,28e574db-0e06-4252-9b44-8992f930404e
fc1813ad-0284-4886-a9f3-478c631f0f1c,old,Push child dream seven better trial president.,34.76,2024-01-23,2024-07-31,cc2bab02-b392-4140-88db-512eff732c44
1805786e-d62d-4bfd-9483-a84e4d4608ec,enough,Throughout foreign than represent.,29.37,2024-04-08,2024-08-12,846310a5-bd5a-4c9a-8e28-7814e76d3cdd
25c0f123-a531-417f-9ef1-3280b43d5723,put,Almost cultural term everyone single foot every.,16.88,2024-05-25,2024-03-09,c390236f-e624-4ba1-b142-6f4192f7e247
754859ca-8411-47e1-8883-a0af2c247c2f,story,Top civil medical other between particularly coach.,47.09,2024-04-22,2024-04-27,0aa0e9ae-9ad6-416a-93b0-1c2932821d18
4e5280f8-6ad3-48a1-871a-39869ab9ee47,spring,Summer floor buy scientist.,33.91,2024-02-16,2024-08-17,1f074a53-84b6-4626-9359-1f3f48cb0575
7bbe1b29-c93b-4882-96c4-6e63e911a617,improve,About loss own more large remember.,13.25,2024-02-18,2024-02-04,a2144ecf-e59f-4f69-b3f8-f2979b9a5bc8
1e8f87a5-9a94-45b0-9ec3-01c6677c33cb,consider,Yes also give section must activity.,49.43,2024-03-29,2024-07-12,c182a95c-00df-40be-b44a-d43e36c8b77f
83b8d27e-4bec-4942-b318-da7beee6cb7d,his,Enough significant past page owner think.,29.94,2024-03-07,2024-06-24,b12545bb-fbe1-4760-b5a3-2423f3ad2fa0
15413c70-16be-478e-8bc5-e5b4e8c63d40,direction,Imagine issue attorney cultural through.,24.55,2024-03-16,2024-02-18,6959bd9e-886b-49e9-8c00-bce1fa3ae201
321a5179-ef6e-4c1d-bdb0-79958dcd93f8,contain,Face body artist environmental other.,37.58,2024-01-23,2024-04-11,3b1dc511-fecb-465e-89e8-210c422f5a69
b049225c-56f9-4248-bf84-fd09fd4802a4,fear,Line weight without safe miss concern daughter.,44.12,2024-02-06,2024-02-13,e814f2bd-57ad-4cec-ac33-3babd4bbe36b
bb8598c8-8168-4ab7-8ae1-d1f0a6d30849,both,Dinner idea case strategy church court parent.,38.02,2024-01-24,2024-08-08,767d164b-c6ec-49e1-baac-8442d279d7c3
09e2bdae-5780-4ada-ac92-c8f8e1c62eca,section,Usually media mouth space economic large.,28.27,2024-05-06,2024-02-18,5724579c-b27b-41f1-aeca-c5586ac7bf02
32405df6-d17b-40b4-8623-7ba0599ea34a,learn,Situation draw radio minute.,48.74,2024-08-03,2024-03-15,2325edfb-23b4-4cfd-9139-3936dca8b503
7623cadf-05bf-4a28-ba8a-5d810dd8bd92,his,Right perhaps Republican open.,36.48,2024-02-17,2024-07-08,2aaea7ea-bd09-4e40-abea-c5c3770dc978
a2cc1e5e-e186-4a0c-9c12-9404d26e5321,total,Certain give western shake.,5.68,2024-06-06,2024-08-15,a9b1d24b-cbb5-4f47-8733-5b03d07a24a8
45c0e65d-9cf5-4045-871c-1ac1b00be1cc,light,Around nature perform rest.,10.25,2024-03-18,2024-02-25,4776823e-72b0-488c-8e37-7eaf56195c91
2efa6595-bc6f-413e-aed6-e21294868e12,education,Happy act Mrs including collection those something.,44.16,2024-02-15,2024-07-10,9758f334-0ebe-40e0-ba22-151e0fdc65ec
6105c9cc-dfb8-441c-8dc3-469ec70b71a4,paper,Cultural last hotel already thing common current.,26.82,2024-01-08,2024-01-03,dc21db3e-70c0-46d4-9946-999dadca1458
6b63b5c4-ac1f-49e5-96c7-ea2a89188cbb,coach,Case there study market event.,16.1,2024-04-12,2024-04-10,888cd196-250a-47ff-ae01-72a3319d3645
6f1920f9-12bd-42c8-9e9a-043009450ba5,message,Feel management only audience half believe reflect.,9.47,2024-08-09,2024-05-22,7d53606c-fbca-40ae-8e31-7446ca9582ae
eee3568b-e61c-460c-a378-8c95bede9b07,kind,Office usually college produce resource fall.,29.68,2024-01-29,2024-05-07,553c3139-3b76-4011-ad2b-cf6c60d4b810
ac05121c-7c52-4161-8e35-a3c93cc36f56,standard,Second boy many central bring may.,41.88,2024-02-02,2024-05-27,3d7823e8-bfd7-4008-975f-ba8664e59499
ddf44674-4afa-4580-b247-9c001b27817c,development,Protect plant white store own green.,37.0,2024-08-08,2024-08-18,1921a42c-3d5e-484c-85a9-abea20672736
045d0d47-8718-4010-ae40-2feb9186ced2,break,Expect material current production boy democratic.,10.24,2024-01-01,2024-05-02,cac7cfcf-1684-48e8-9ff5-d3b715fef318
