return_id,order_id,product_id,return_date,return_reason,quantity,refund_amount
d85c2cb8-7f41-4bcd-8476-cdcbb706fb7a,fcd59042-01da-4edb-ae34-debb9b67dd46,bd01f291-ed05-480e-b531-3d7b8895614e,2024-08-18,Experience eight college service degree she consumer answer.,3,99.12
afc08502-b344-4a72-9265-ff9d4144af9e,a4f5f420-12e2-4127-9903-3e08e419ee8a,76b9d69f-4b20-420a-92a4-c63a50357309,2024-03-07,North mouth subject everyone possible.,5,540.45
d61c2409-d3d7-46a2-a86a-1601753728bd,ce2ac7f9-592d-4452-9370-6a8b524bb06c,31ce73bc-e23d-45f3-9198-b5bff3ec8b2a,2024-06-11,Leg young consumer federal.,1,201.53
2227274f-8aae-4408-afd1-d4d528d335d2,a69034eb-3b04-40a4-8d69-1f4987cb5040,52e0df34-6c6c-42d8-a7b4-526f0594b79e,2024-05-29,Consider reveal high research within.,1,110.82
c3c6f65c-9a00-4e60-be49-02b8063e04c6,756706e0-1b4b-439f-b8d5-51c73e3eee86,1541df1b-4c4e-4263-a0f2-15f4ea387cf8,2024-08-28,Produce onto identify.,9,1398.6
b6434977-b189-4740-a760-44064e53b0cc,19700a40-09ae-4e25-b103-993bbd75e678,0447de7b-0b8e-4600-bbc1-03d18e418f37,2024-06-04,Make last table perform number miss.,6,720.36
03f8b06a-bf44-429c-b340-2b94d9854587,d7285fad-a504-4c66-b789-1734bf107888,6cfcc9f0-e32a-4d15-a2d2-8d8951a719c9,2024-03-24,Build science traditional near too value eye.,2,360.38
ab4e34fe-f5c0-4c81-9da2-5a954149f52f,31a9e11d-3592-42ce-9c55-fb05fd0a3a62,bdac2f4f-5771-4971-949c-aa3c39ee59b8,2024-08-29,Once field reality.,5,1785.8
fa544a38-df39-4dbc-898e-adea7a81c8fa,87bb42a3-e993-4b4e-a4b0-9b7099c14184,283e8da2-d955-4910-91e7-5359c9ab06ff,2024-05-11,Young develop enter media half itself political.,3,72.12
3031ced2-b6e1-4633-b684-456c66771965,f28bc42e-b2c0-4fed-baa6-d0735d70184d,5832b1a6-b6f0-4a3d-89c7-1a01ea65c409,2024-07-12,And now fall.,2,999.02
24c88279-f794-4b5b-b7bd-427a34006b97,9c0828ea-0092-40b2-8f7c-ab5d62feaaff,9f1443b4-86f0-4105-a207-1afc084b9a4a,2024-05-02,Industry everybody guy that.,2,995.38
4eaa0cd4-8206-4e87-8672-af24316310b5,ae8743fd-1c50-4dc1-b288-5735f08de67a,8e557f00-c613-4777-b082-71120cc19e88,2024-06-21,Plan explain happen record any woman test.,1,196.96
f1c7a895-953f-4026-a9e0-50e4b464e6e2,a925d112-148c-482d-bc73-7290a0e6288e,a396a1d9-0398-4263-993f-0a75ca09ec0e,2024-06-17,Bar me public sing thought.,10,3571.0
3171c64b-67c5-42ad-8f9d-7c4e5805c524,d3252b68-a94d-4aec-9b10-8024afff87eb,074a1b25-3766-44c1-8e72-3ffe4366faeb,2024-04-27,Before peace Mr particular ask provide travel.,1,402.27
01484579-352d-4550-b3b8-bb7c703053c8,2aa25271-20d4-4499-8d58-72a79f8165f7,c3ba1c84-be64-425a-9518-6dd7192ec064,2024-07-24,Challenge author respond tonight sometimes according authority.,4,1185.28
ca9b815b-1666-448f-9d80-2f28a359147f,ca7f80a7-5da0-4746-bf11-80060e33bc44,c3cc72f2-ca00-4b30-b696-bf6c198aba41,2024-03-11,Cover make party of.,6,119.76
7ba5f50a-aaa4-4646-8578-ee7bcee9c9d6,7b13d45e-f580-4aa6-810f-9ef6674f508d,1176d816-391f-4792-b1da-ea6277326ac5,2024-03-26,Throughout economy dinner.,1,137.88
d40b3f57-22b4-4637-8244-1feaf8db9d9e,384c79b9-9d68-4131-9f6d-b83f86653a63,404d081c-73d7-4e91-841e-c69a53d734cc,2024-07-09,Lose strategy end perhaps wait candidate.,10,3124.9
f7f6f69a-e9df-425f-b7cf-8fe52f2112cf,a76b1f9e-02be-4247-81f8-6c20a1c32e8e,131269b4-e9f7-49ef-b2ee-0448cf7a35a7,2024-05-04,Sit respond opportunity tree several value national lot.,2,112.6
ad8324cd-d695-4b65-b08a-b54cd28a82bc,e655a46e-c941-4470-8fb2-07f555a1100e,2b4e3bc0-546f-4eeb-8d62-689d62bc47bc,2024-07-17,Break people development model team month easy.,4,1550.84
