store_id,store_name,location,address,city,state,postal_code,country,manager_name,opening_date,store_type
bbf81b31-c636-4f35-909e-f74dbb4e31a6,"Spencer, Bryant and Bray",Chelseaborough,"88036 Daniel Center
Meyerston, NH 57950",New Haydenborough,Massachusetts,80352,Qatar,Rachel Montgomery,2015-02-07,Online
e06e31eb-58aa-4b45-8268-311b8d0fd334,"Phelps, Vazquez and Townsend",East Heatherville,"0102 David Lakes Suite 524
Byrdmouth, NV 32081",Loganhaven,Washington,31477,Saint Helena,Eric Bradley,2004-09-24,Physical
5414b9aa-f0ea-42f6-9aca-d314929d8287,Perry and Sons,Mcmillantown,"298 Preston Summit Apt. 044
Lake Jessicaville, CA 62068",Lake Edward,Massachusetts,16911,Uzbekistan,Matthew Bauer,2015-08-02,Physical
9866a664-79ba-43a4-bf3c-cb593e64bb3a,"Wells, Jones and Jones",Maysside,"08051 Tyler Haven
Williambury, PW 63955",Bakerfort,Wyoming,23474,United States Minor Outlying Islands,Rita Parks,2019-08-14,Online
f2e854f6-5d7d-4e48-9dd6-da1b23cf1372,Meadows Group,Daltonshire,"Unit 5864 Box 6160
DPO AP 05997",East Brian,Georgia,50707,Korea,Alexandria Flores,2005-12-10,Online
ab0fb27a-3cc2-4209-acc8-57b8a73a7a5d,"Smith, Solomon and Peters",North Paul,"2507 Audrey Drive
Lake Ashleyborough, GA 79550",Lake Tiffany,Florida,95168,Germany,Ryan Lee,2017-09-05,Physical
fc4d1661-1f97-451d-a378-c4ea1f30a60a,"Cohen, Roberts and Wise",West Brian,"PSC 1126, Box 6842
APO AE 74066",Rosarioborough,Arizona,51566,Moldova,Nicole Brock,2020-12-08,Physical
6189a8a5-9bb2-4c9b-aaa7-4b75df2cbb05,Anthony Inc,Esparzamouth,"2210 Green Viaduct
West Barbaratown, WI 22188",Noahshire,New Jersey,74436,Philippines,Christopher Huang,2013-12-13,Physical
a8d62cab-b386-4daf-bec8-be3564790472,"Brown, Simmons and Rodriguez",Nicholasbury,"66767 Dennis Drives Apt. 638
Lake Timothy, PW 97056",New Kristenchester,Oregon,91025,India,Janice Johnson,2001-03-09,Online
791a7a27-a543-45ea-ae0b-0f2378d81ec5,Lewis Inc,Carrieville,"4495 James Drive Suite 176
Martintown, KS 33498",Kaylahaven,New York,58336,Mauritania,Ricardo Neal,2018-09-04,Physical
d8478e32-f4e3-43dc-9647-9428a3452668,Stout Inc,Lake Andrewbury,"1845 Ramirez Bypass
Ritafurt, MA 89655",New Michelle,Montana,17728,Saint Martin,Matthew Richmond,2021-05-23,Physical
ec036f02-79f6-4091-94ab-31c234f2ff0a,Vasquez-Greene,Finleyhaven,"1118 Lopez Ways Suite 590
Calderonside, PA 86851",Andrewtown,Iowa,04084,Mexico,Evan Martin,2009-02-19,Online
b6cf84f2-410d-4145-bcf0-8fc61c6b40a7,Johnson LLC,Parkerhaven,"USCGC Stewart
FPO AE 41593",West Michelleview,Indiana,60329,Peru,Robert Stein,2016-04-17,Online
89e76ee3-3208-467f-9b08-2296e7b2ddb8,Hickman-Morales,Deanland,"692 Sandoval Mall
West Justin, VI 38329",Brandonfurt,Pennsylvania,29386,Grenada,Aaron White,2008-11-13,Online
0b4f11a1-4cc3-480d-ae9b-e899de77cac2,"Fisher, Henderson and Wagner",Greenstad,"USNS Phillips
FPO AP 52869",West Cheryl,Wyoming,14522,Belarus,Jesus Myers,2001-11-25,Online
710e1149-3532-4369-afd6-fcdf618f30e1,"Pugh, Warren and Herrera",Port Debra,"84900 Russell Spur
South Lindseystad, NM 03801",Robertborough,West Virginia,33076,Iran,Katherine Robinson,2011-07-07,Physical
ed042c61-3b5c-4d64-9dd8-e606ecbf1d68,Potter-Palmer,Courtneyton,"PSC 0867, Box 8482
APO AA 25045",Lake Carriefort,Michigan,64107,El Salvador,Heather Young,2003-12-18,Online
b966cb46-9cdb-4291-a6ed-52927a22a36e,Hickman-Bell,South Joseph,"USNS Moss
FPO AP 99241",West Jacobburgh,Maine,02383,Poland,Tony Cook,2004-09-29,Physical
86624cb2-131f-45bb-9d47-b874146aaf44,Byrd-Reese,South Alexanderberg,"0064 Oconnell Overpass Suite 490
Mayerhaven, NY 88112",Sellersside,New Mexico,14867,Cote d'Ivoire,Ryan Olsen,2020-08-30,Online
3a09772c-9ae7-4c79-be88-27f5fb64c305,"Allen, Martin and Malone",Fowlerhaven,"Unit 4636 Box 2296
DPO AE 76274",East Travis,North Carolina,52411,Argentina,Jon Strickland,2016-02-06,Online
a2e1fce8-f4e0-400a-a416-a978e13852f5,Brown LLC,Matthewborough,"Unit 1936 Box 7166
DPO AE 36964",Christinamouth,Georgia,43959,French Polynesia,Angela Peterson,2018-03-18,Online
2d90f52f-3257-4b45-914e-32c6138c6960,Martin-Martinez,Moorebury,"843 Julia Trail Suite 795
Lake Katherine, NC 09603",Port Jacob,Oregon,20343,Bosnia and Herzegovina,Steven Pena,2018-11-05,Physical
4da08672-bc51-4ab6-9307-5ad0802f20a2,"Miller, Duarte and Snow",Garcialand,"511 Flynn Heights
South Jenniferhaven, LA 43261",Morristown,Georgia,56985,Cameroon,Donna Garcia,2022-12-21,Physical
06fade8b-68b7-484f-8930-b3e4c8a23de4,"Gray, Roberts and Gonzalez",Lake Mariah,"06164 Mclaughlin Point Apt. 499
Holmeshaven, NY 30265",Clarkfort,North Dakota,44647,French Polynesia,Stephanie Ibarra,2023-12-30,Online
a08243b7-335c-4d03-a2df-f30f6608c09d,Vazquez Inc,Butlermouth,"56227 Denise Light
North Angela, WY 92434",Alexandrachester,Maine,70777,Burundi,Kyle Roth,2003-08-21,Physical
7196372b-59d9-40e7-9640-1a015265c4cb,Pineda-Washington,Christopherside,"847 Brian Estate
Lake Alfred, RI 06059",Scottview,Colorado,26357,Kazakhstan,Logan Baker,2022-10-23,Physical
91608e34-773a-4423-bcf8-7763af0cbed1,Shepherd-Stewart,Campbellshire,"4408 York Mountains Apt. 290
Lake Ashleyville, OR 88835",East Austin,Tennessee,42321,Gambia,Wesley Cuevas,2022-04-06,Online
e71c3b7c-30ad-49ac-a2e2-c9b5e4b1fa2a,Barber Inc,Sherrybury,"732 Olivia Lakes
Martinezstad, OH 28860",East Jodi,North Dakota,10233,Barbados,Austin Salazar,2014-05-27,Online
cc9a5901-bfa8-4011-8395-b3ffeb4764ab,Rodriguez-Merritt,Perezbury,"853 Thomas Circles Suite 159
West Timothy, GU 51212",Timothyborough,Maine,16486,Saint Kitts and Nevis,Kyle Brown,2010-02-16,Physical
25cd1224-8072-4373-a729-16eea4f94de1,Francis-Walker,Tonyville,"4660 David Knoll Apt. 471
South Davidberg, HI 40150",Cruzborough,New York,30766,Bahrain,John Miller,2010-09-20,Online
8a67a363-820c-4486-a3cd-78d183936a5e,Turner Group,Jeremyton,"274 Carla Loop Apt. 061
Michaelview, HI 20962",Wongton,Oregon,51298,South Africa,Stephen Barajas,2011-02-25,Physical
cb228b05-fc1e-4a8a-a4c2-4e47a50952ec,Peterson-Clark,North Daniel,"546 Renee Islands Suite 255
Arellanoton, TX 76577",Bradshawfurt,Minnesota,10410,Aruba,Lauren Diaz,2014-06-19,Physical
02fa6c92-ee1d-47d3-ae8d-5774fe7cf616,"Warner, Clayton and Gray",Lake John,"27807 Wiggins Lodge Suite 254
East Davidfurt, MS 58849",Nicoleshire,Oregon,38867,North Macedonia,Blake Lucero,2000-09-19,Physical
144fe14b-ff29-44ff-8045-d8cd62efc1ee,"Hoover, Saunders and Dixon",Ryanmouth,"9290 James Pike Suite 171
South Antoniomouth, ID 01881",Kimberlystad,Maryland,82766,Turks and Caicos Islands,Richard Davis,2014-08-27,Physical
ce535ab2-5770-4e92-a028-f0109b565322,Ashley Inc,West Jasontown,"5342 Nathan Port
North Tinahaven, MA 27008",Romeroberg,Rhode Island,45989,Kenya,Krista Holloway,2022-07-14,Online
4487d0f8-d4e7-4f40-8b92-956b1bd44d7d,Wright Group,Fullerberg,"3226 Williams Estates Suite 135
South Stephanie, CA 75313",Taylorville,Colorado,93448,United States Minor Outlying Islands,Amy Wilkerson,2023-05-19,Physical
0587f5d0-3c9e-4027-b869-5560fde3380d,Pham and Sons,New Joseph,"847 Parsons Tunnel
East Kristenville, TN 33283",Vegaland,Arizona,59347,Dominican Republic,Melissa Evans,2008-11-06,Online
4fafc5c8-8d22-4a99-8788-4e206cbaa7cd,Ryan-Diaz,West Brandiberg,"14423 Christopher Center
South Carrie, CO 03640",Webbton,South Dakota,07343,Israel,Christopher George,2016-11-07,Physical
861b24fe-b15f-4dd3-9b59-bf3b01787dd5,Mendoza and Sons,Lake Joanview,"1513 Zachary Heights
North Stacy, OR 93908",Theresaport,Arizona,86727,Trinidad and Tobago,Jacob Price,2003-04-17,Physical
8fe70279-66a4-4556-9e35-faa13d950d48,"Davis, Rios and Dawson",North Ericachester,"653 Gordon Mission
Loweborough, SD 63320",Jamesshire,Indiana,82455,Estonia,Courtney Becker,2004-04-18,Physical
c188a33d-cfbe-4ba4-a331-5b2f20e79079,"Austin, Simmons and Lamb",Fosterbury,"388 Hailey Orchard
New Georgemouth, NM 75978",South Robin,Oregon,17759,Niger,Amanda James,2022-05-25,Online
